function,category,original_line,current_line,cpp_locations
function_4082b0,unchanged_decompiled_body,18542,17484,
function_4082d0,unchanged_decompiled_body,18552,17494,
function_408320,modified_nonempty_body,18572,17514,
function_4083e0,modified_nonempty_body,18656,17597,
function_408430,modified_nonempty_body,18689,17631,
function_408530,unchanged_decompiled_body,18787,17729,
function_408550,unchanged_decompiled_body,18796,17738,
function_408590,unchanged_decompiled_body,18816,17758,
function_408600,unchanged_decompiled_body,18846,17788,
function_408650,modified_nonempty_body,18866,17808,
function_4086e0,modified_nonempty_body,18884,17839,
function_4087b0,modified_nonempty_body,18903,17870,
function_4087e0,modified_nonempty_body,18917,17884,
function_408800,modified_nonempty_body,18928,17906,
function_408830,modified_nonempty_body,18944,17922,
function_408850,modified_nonempty_body,18953,17931,
function_408860,modified_nonempty_body,18960,17938,
function_408870,unchanged_decompiled_body,18967,17945,
function_408930,modified_nonempty_body,19002,17980,
function_4089c0,modified_nonempty_body,19026,18005,
function_408b10,unchanged_decompiled_body,19131,18039,
function_408b30,modified_nonempty_body,19138,18046,
function_408bf0,modified_nonempty_body,19164,18092,
function_408c80,modified_nonempty_body,19183,18103,
function_408d00,modified_nonempty_body,19256,18140,
function_408e60,modified_nonempty_body,19285,18183,
function_408e80,modified_nonempty_body,19292,18188,
function_408eb0,modified_nonempty_body,19309,18194,
function_409030,original_short_body,19376,18200,
function_4090a0,unchanged_decompiled_body,19382,18206,
function_4090d0,unchanged_decompiled_body,19398,18222,
function_409130,unchanged_decompiled_body,19416,18240,
function_4093b0,unchanged_decompiled_body,19518,18342,
function_4093f0,unchanged_decompiled_body,19531,18355,
function_409450,unchanged_decompiled_body,19555,18379,
function_409480,unchanged_decompiled_body,19576,18400,
function_4094b0,unchanged_decompiled_body,19608,18432,
function_4094e0,unchanged_decompiled_body,19642,18466,
function_409540,unchanged_decompiled_body,19667,18491,
function_409620,unchanged_decompiled_body,19735,18559,
function_4096d0,unchanged_decompiled_body,19765,18589,
function_409840,unchanged_decompiled_body,19868,18692,
function_4098a0,unchanged_decompiled_body,19898,18722,
function_409930,unchanged_decompiled_body,19954,18778,
function_4099c0,unchanged_decompiled_body,19996,18820,
function_409da0,unchanged_decompiled_body,20216,19040,
function_40a0f0,modified_nonempty_body,20528,21074,
function_40a3d0,modified_nonempty_body,20713,21084,
function_40a460,modified_nonempty_body,20733,21139,
function_40a5d0,unchanged_decompiled_body,20886,21174,
function_40a5f0,modified_nonempty_body,20893,21181,
function_40a6c0,modified_nonempty_body,20957,21245,
function_40a7f0,modified_nonempty_body,21009,21297,
function_40a890,modified_nonempty_body,21049,21337,
function_40a8d0,modified_nonempty_body,21064,21352,
function_40a950,modified_nonempty_body,21099,21387,
function_40a9a0,modified_nonempty_body,21118,21406,
function_40a9f0,modified_nonempty_body,21137,21425,
function_40aaa0,modified_nonempty_body,21198,21436,
function_40aac0,modified_nonempty_body,21210,21451,
function_40aae0,modified_nonempty_body,21221,21476,
function_40adb0,modified_nonempty_body,21545,21488,
function_40ae70,modified_nonempty_body,21592,21535,
function_40af70,unchanged_decompiled_body,21712,21655,
function_40af80,unchanged_decompiled_body,21722,21665,
function_40afb0,unchanged_decompiled_body,21735,21678,
function_40afe0,modified_nonempty_body,21750,21693,
function_40b160,modified_nonempty_body,21859,21802,
function_40b210,modified_nonempty_body,21921,21864,
function_40b2c0,unchanged_decompiled_body,21964,21907,
function_40b2d0,unchanged_decompiled_body,21976,21919,
function_40b3a0,modified_nonempty_body,21997,21940,
function_40b520,modified_nonempty_body,22123,21948,
function_40b6f0,unchanged_decompiled_body,22303,21953,
function_40b760,unchanged_decompiled_body,22387,22037,
function_411b90,unchanged_decompiled_body,22403,22053,
function_40b840,unchanged_decompiled_body,22435,22085,
function_40b8a0,modified_nonempty_body,22460,22110,
function_40b9a0,unchanged_decompiled_body,22589,22116,
function_40ba20,modified_nonempty_body,22638,22165,
function_40bb70,modified_nonempty_body,22715,22242,
function_40bbf0,unchanged_decompiled_body,22749,22276,
function_40bc00,modified_nonempty_body,22759,22286,
function_40bd10,modified_nonempty_body,22835,22362,
function_40bd90,unchanged_decompiled_body,22869,22396,
function_40bda0,unchanged_decompiled_body,22877,22404,
function_40bdf0,unchanged_decompiled_body,22919,22446,
function_40be40,unchanged_decompiled_body,22963,22490,
function_40be70,unchanged_decompiled_body,22976,22503,
function_40bea0,unchanged_decompiled_body,22991,22518,
function_40bed0,unchanged_decompiled_body,23004,22531,
function_40bf00,unchanged_decompiled_body,23017,22544,
function_40c010,unchanged_decompiled_body,23075,22602,
function_40c2e0,unchanged_decompiled_body,23283,22810,
function_4429b0,original_short_body,23286,22813,
function_40c370,unchanged_decompiled_body,23296,22823,
function_40c410,modified_nonempty_body,23326,22853,
function_40c4b0,unchanged_decompiled_body,23347,22874,
function_40c5f0,unchanged_decompiled_body,23412,22939,
function_40c670,original_short_body,23452,22979,
function_40c6d0,unchanged_decompiled_body,23460,22987,
function_40c790,unchanged_decompiled_body,23528,23055,
function_40c870,unchanged_decompiled_body,23610,23137,
function_40c8a0,unchanged_decompiled_body,23623,23150,
function_40c900,unchanged_decompiled_body,23647,23174,
function_40ca50,unchanged_decompiled_body,23754,23281,
function_40cba0,modified_nonempty_body,23861,23388,
function_40cc80,unchanged_decompiled_body,23942,23469,
function_40ccc0,unchanged_decompiled_body,23957,23484,
function_40cdd0,original_short_body,24010,23537,
function_40ce60,unchanged_decompiled_body,24016,23543,
function_40d0a0,unchanged_decompiled_body,24142,23669,
function_40d1e0,unchanged_decompiled_body,24256,23783,
function_40d240,unchanged_decompiled_body,24290,23817,
function_40d2f0,unchanged_decompiled_body,24341,23868,
function_40d330,unchanged_decompiled_body,24372,23899,
function_40d400,unchanged_decompiled_body,24411,23938,
function_40d500,unchanged_decompiled_body,24536,24063,
function_40d520,unchanged_decompiled_body,24553,24080,
function_40d560,unchanged_decompiled_body,24571,24098,
function_40d590,unchanged_decompiled_body,24581,24108,
function_40d5b0,unchanged_decompiled_body,24590,24117,
function_40d5e0,modified_nonempty_body,24608,24135,
function_40d790,modified_nonempty_body,24690,24217,
function_40d940,modified_nonempty_body,24824,24392,
function_40da60,modified_nonempty_body,24892,24493,
function_40db30,modified_nonempty_body,24943,24556,
function_40dbe0,modified_nonempty_body,25084,24595,
function_40df60,modified_nonempty_body,25365,24600,
function_40e130,modified_nonempty_body,25645,25052,
function_40e220,modified_nonempty_body,25749,25094,
function_40e2b0,modified_nonempty_body,25789,25125,
function_40e2d0,modified_nonempty_body,25801,25140,
function_40e2f0,unchanged_decompiled_body,25813,25155,
function_40e320,modified_nonempty_body,25825,25167,
function_40e3f0,unchanged_decompiled_body,26032,25222,
function_40e460,modified_nonempty_body,26068,25258,
function_40e540,modified_nonempty_body,26128,25320,
function_40e590,modified_nonempty_body,26150,25333,
function_40e5d0,modified_nonempty_body,26161,25344,
function_40e630,modified_nonempty_body,26181,25365,
